,schyear,gradeACCT,gradeART,gradeCED,gradeCH,gradeED,gradeEM,gradeLS,gradeMTHSC,gradeMUSIC,gradePHYS,gradeTHRD,nstudentsACCT,nstudentsART,nstudentsCED,nstudentsCH,nstudentsED,nstudentsEM,nstudentsLS,nstudentsMTHSC,nstudentsMUSIC,nstudentsPHYS,nstudentsTHRD,gradeALL,nstudentsALL,fisherACCT,adjACCT,fisherART,adjART,fisherCED,adjCED,fisherCH,adjCH,fisherED,adjED,fisherEM,adjEM,fisherLS,adjLS,fisherMTHSC,adjMTHSC,fisherMUSIC,adjMUSIC,fisherPHYS,adjPHYS,fisherTHRD,adjTHRD,fisherALL,adjALL
10,1992,2.402104,3.401146,3.888228,2.305636,3.633885,2.265056,3.931796,2.419118,3.251559,2.291732,3.383585,3879,573,712,4985,5986,2084,1041,10294,1858,3579,1124,2.7424477226083344,36115.0,0.9837699193100072,2.3631176582542457,0.9379230949778902,3.1900133827916712,0.8279601782150208,3.2192979478206336,0.9771176855028801,2.2528777119321184,0.8978981566385463,3.2628586429364637,1.0112933287866026,2.290636022128067,0.9650236085433345,3.794275963976248,0.9716927924323268,2.3506395246433054,0.8536760975670885,2.7757781981291445,1.0277507061892528,2.3553291813965087,0.9608716333857686,3.251190845649586,0.9711665360073716,2.663373454946841
11,1993,2.572107,3.311603,3.819778,2.306203,3.675809,2.359461,3.906692,2.40191,3.380421,2.335107,3.265419,3667,539,707,4634,6172,2174,1061,9080,1903,3395,1068,2.797191843837209,34400.0,0.9931497093000713,2.5544873193386786,0.9302670803626594,3.080675254130224,0.8302357539203946,3.171316267638537,0.9724734827183684,2.2427212632655493,0.8829584176299571,3.245586498149955,1.0062388067972932,2.374181221324748,0.9589789537068926,3.746435406615088,0.9764124762693364,2.3452548908760815,0.8446169691397324,2.8551609394363036,1.0260121031209786,2.3958480440825185,0.9579417761539488,3.1280812767468515,0.9709471330621371,2.7159254013985312
12,1994,2.644781,3.289827,3.821196,2.352755,3.678215,2.404927,3.908144,2.337469,3.410676,2.305647,3.354717,3245,513,624,4665,5905,2033,1056,9008,1709,3200,1035,2.7915336203437087,32993.0,1.0063676626245994,2.661622073123951,0.9257474548466071,3.045548972135649,0.8358795933448819,3.1940597585710897,0.9691095261510656,2.2800772831995504,0.8729533877434632,3.2109102450988223,1.0053990017895973,2.4179112051768508,0.954204494243348,3.729168568950175,0.9797204435996836,2.290066165580509,0.8415626937461014,2.870297682055178,1.0263972525703673,2.3665097461971096,0.9577179152618834,3.2128725715336,0.9722893980628228,2.714178543396117
13,1995,2.457074,3.464394,3.8609,2.413523,3.653434,2.475862,3.922777,2.342654,3.421725,2.326275,3.449317,2798,539,691,4650,5773,1647,1282,9117,1837,2910,1125,2.815181556303871,32369.0,1.0191245018155437,2.5040643161739253,0.9218344537167649,3.193597750449638,0.8382811704007863,3.236519770800396,0.9673307614104251,2.3346750412715735,0.8653549370383171,3.161517149043647,1.0126445596757456,2.507168184807911,0.942104440868975,3.695665632238675,0.9822895100647793,2.3011644499112953,0.8366101637290333,2.8626499124857263,1.0303268722197192,2.396823644672927,0.955451061832436,3.295653590246673,0.9744066983471661,2.7431317655258916
14,1996,2.369669,3.423738,3.70186,2.390192,3.590413,2.415259,3.937364,2.370263,3.438255,2.442754,3.406582,2668,622,667,4708,5327,1410,1681,9281,1904,2614,948,2.811310327489789,31830.0,1.0304033143539757,2.4417147915218713,0.9127256521562266,3.124933498862055,0.8401101755701679,3.1099702545361816,0.9650360769601884,2.3066215108616266,0.8611779105111393,3.0919843652120313,1.0223005684850317,2.469120648738589,0.9195099593732273,3.6204454116776077,0.9843789607093371,2.3332370285477952,0.8313640593343963,2.8584416338267844,1.0386760108456952,2.537229980197365,0.9586994429500295,3.2658882657635977,0.9767312808377021,2.745894737001361
15,1997,2.421699,3.36386,3.856759,2.406652,3.557281,2.27623,3.905257,2.381943,3.512469,2.572158,3.316154,2840,665,547,4567,5284,1126,1547,9348,2053,2676,946,2.8201600618057534,31599.0,1.0398247293795577,2.5181425073137453,0.9019855810962405,3.0341532168263994,0.847319435350879,3.2679068581644204,0.964279376171715,2.32068488922241,0.8575717540174399,3.050623706702913,1.0339395124691566,2.353484136467668,0.9045658015526872,3.5325619284742427,0.9861635539727247,2.348985374240454,0.8250467879880036,2.8979512663574347,1.0472663505753905,2.6937345217632953,0.960784078889162,3.18610796634461,0.9790844715160968,2.761174923703889
16,1998,2.448784,3.337669,3.677785,2.489735,3.527505,2.419729,3.901444,2.401122,3.574607,2.634815,3.369933,3005,594,505,4869,5386,1034,1375,9798,1916,2679,1026,2.8296505009165194,32187.0,1.0473274906995456,2.564678801985196,0.8964343550828804,2.9920011574951224,0.8541237705116514,3.1412835913311943,0.9626357151636256,2.3967078322929094,0.853675928423957,3.0113461058951505,1.0479776915785517,2.535822011665677,0.8963081985824275,3.4968962435102204,0.9866633332124152,2.369099035969661,0.8221027748000248,2.9386943335195923,1.0557265658192643,2.781644191519085,0.9608267546829451,3.2379217878889612,0.9807430042043226,2.7751599331171333
17,1999,2.327434,3.507417,3.697657,2.561661,3.602235,2.398876,3.929872,2.360279,3.599805,2.596497,3.398882,3357,641,443,5060,5040,1068,1433,10614,1998,2883,1047,2.807855809045974,33584.0,1.0498525931115534,2.443462620195995,0.8905299653467034,3.123459939466438,0.8626376908070212,3.1897382958764178,0.960845625325718,2.461360765417504,0.8524658125133198,3.0707821861389184,1.0601490543503138,2.5431661229036635,0.8880161300427547,3.4897897250033805,0.9843961091257586,2.323449464051236,0.8185671740385562,2.9466822059398647,1.060917218569624,2.754668375264373,0.9605402815295091,3.264763073165581,0.9808280321715673,2.754023687808067
18,2000,2.433754,3.498657,3.723138,2.476342,3.673155,2.408475,3.950696,2.385551,3.655153,2.729233,3.53891,3445,605,521,5095,4860,1180,1724,11067,2244,3150,1011,2.8462609396596186,34902.0,1.0527176833844538,2.562055872807648,0.8869828462832946,3.103248744028973,0.8679531977188097,3.231509532648414,0.958138369757362,2.372678286841685,0.8526809123590398,3.1320291566361687,1.0697551240992589,2.5764784725149625,0.8747820546679043,3.455997964248271,0.9814823470560974,2.34137619450202,0.8126624121250635,2.9704054536661624,1.0647323654827174,2.905902708043493,0.9622675942541685,3.4053784119820194,0.980227043409898,2.789981945655626
19,2001,2.483533,3.30983,3.655577,2.74603,3.654268,2.240506,3.937149,2.505702,3.707604,2.557,3.474772,3116,626,561,4963,5160,1185,1782,10434,2075,2987,1189,2.923411757702917,34078.0,1.0582145029424925,2.628110639136277,0.8816774057368102,2.9182023278298663,0.8711041928953617,3.1843884521518477,0.9592368298424608,2.634093111852293,0.8514233309688038,3.111329032812709,1.0766905557135966,2.4123316502196475,0.8622258199759866,3.394711524892635,0.981650654778991,2.4597240089810275,0.8098193688047594,3.002489531058001,1.0676401571530039,2.729955881840231,0.9591058225199895,3.332674057129429,0.9809974532185735,2.867859489015795
